Positive Line Index,Negative Line Index,Positive X-Intercept,Negative X-Intercept,Positive Y-Intercept,Negative Y-Intercept,X-Intercept Difference,Score
688,662,220.3758544921875,220.5513153076172,292.44866943359375,-884.5831909179688,0.17546082,43.0
296,482,216.37466430664062,216.5501708984375,216.37466430664062,-937.9816284179688,0.17550659,50.0
584,652,210.56842041015625,210.74517822265625,225.80699157714844,-451.9444580078125,0.17675781,44.0
683,777,215.7896270751953,215.96795654296875,345.3356018066406,-1111.0587158203125,0.17832947,42.0
498,665,218.81260681152344,218.62962341308594,211.30487060546875,-1780.596435546875,0.1829834,45.0
571,420,199.27308654785156,199.08956909179688,3802.356689453125,-264.20074462890625,0.18351746,47.0
676,562,202.91412353515625,202.7300262451172,757.2858276367188,-381.27972412109375,0.18409729,44.0
491,566,210.13157653808594,209.94442749023438,289.2212829589844,-546.9239501953125,0.18714905,46.0
487,240,217.08370971679688,217.27207946777344,375.9999694824219,-511.8609313964844,0.18836975,51.0
581,429,216.0939178466797,216.28587341308594,389.84375,-1226.6171875,0.19195557,47.0
576,563,207.07867431640625,206.88623046875,512.5377197265625,-464.6741943359375,0.19244385,45.0
436,774,215.54302978515625,215.3374481201172,200.99713134765625,-803.6500244140625,0.20558167,45.0
38,171,170.23329162597656,170.02589416503906,3248.244384765625,-9740.7470703125,0.20739746,68.0
432,556,205.3863067626953,205.1770477294922,564.2942504882812,-328.35186767578125,0.20925903,47.0
580,663,215.18829345703125,215.3982391357422,404.7103271484375,-863.9153442382812,0.20994568,44.0
676,554,202.91412353515625,202.70175170898438,757.2858276367188,-312.1333312988281,0.21237183,44.0
670,634,202.03077697753906,202.2440948486328,11574.3349609375,-169.7029571533203,0.21331787,43.0
356,567,211.3048553466797,211.52413940429688,218.81259155273438,-614.3108520507812,0.21928406,48.0
571,545,199.27308654785156,199.0523223876953,3802.356689453125,-144.6199493408203,0.22076416,45.0
203,660,213.54624938964844,213.3211212158203,213.54624938964844,-697.7416381835938,0.22512817,50.0
670,474,202.03077697753906,201.80503845214844,11574.3349609375,-163.41845703125,0.22573853,45.0
680,566,210.170166015625,209.94442749023438,472.0499267578125,-546.9239501953125,0.22573853,44.0
690,566,210.17056274414062,209.94442749023438,250.47152709960938,-546.9239501953125,0.22613525,44.0
676,650,202.91412353515625,203.14105224609375,757.2858276367188,-398.6866455078125,0.22692871,43.0
38,154,170.23329162597656,170.00294494628906,3248.244384765625,-45.55215072631836,0.23034668,68.0
672,769,202.27719116210938,202.50772094726562,3859.678466796875,-454.8398742675781,0.23052979,42.0
356,644,211.3048553466797,211.07293701171875,218.81259155273438,-337.7872619628906,0.23191833,47.0
682,758,208.09043884277344,207.85452270507812,375.40509033203125,-275.83221435546875,0.23591614,42.0
